# Copyright (c) 2026 Joseph Potashnik.
# Licensed under the MIT License. See LICENSE.txt for details.
# Samples of Target EnglishFragmentWithADJAmbiguousPPAdunction.txt #
Count	Sentence
14	the child fell for David from a bells
10	David went for David from a big girl
13	a girl says John kissed Mary to John
8	a big big big man says Who ran
23	David went to David from Who for David
4	Who to David says a pretty girl fell
8	a big pretty girl knows the woman fell
4	a girl from David knows David loved Mary
5	a big child knows the girl hated David
7	Who knows the big child hated a man
9	Mary for Who says Who for Mary cried
2	the pretty big pretty girl kissed a bells
7	Mary knows a bells went to a man
9	John loved a big child for the woman
3	David knows John knows the big man fell
4	a pretty big cheap pretty big girl cried
4	John says Who kissed a cheap big bells
10	a big big woman hated the cheap woman
2	John says Who from the girl hated Who
3	David for Mary knows Who kissed the bells
5	the cheap big child for a man fell
11	John loved a big pretty woman from Mary
8	the bells knows the bells to Who ran
7	a child says John says a man fell
5	Who says the woman knows a bells ran
5	Who ran to a pretty pretty cheap girl
19	Mary knows Mary knows Who ran from Mary
6	John from a cheap man went to Mary
9	the child says the bells says David ran
13	Who to John for a cheap woman ran
8	David knows the girl hated the big girl
17	the pretty bells knows David fell for John
6	John for the pretty girl ran to John
5	the big man for Mary went for Mary
26	David says Who cried to John for Mary
3	a big man to Who hated a bells
8	a pretty bells hated Who from a man
7	David for Mary says a child hated John
9	Who to the pretty big bells loved John
11	the man from Who says a girl cried
4	John knows David says David for David cried
19	Mary to the girl from Mary to Who fell
5	the child knows Who toll to a cheap man
8	a child for the big man for Mary cried
4	the cheap bells from Mary says Mary loved John
4	David knows the girl knows the cheap child fell
10	Who for Mary knows John knows Who kissed John
6	Who for Mary cried from David to a bells
13	Mary says Who kissed a man for a girl
3	John knows John knows Mary toll to the man
12	Who says Who to John fell to the man
6	a bells says Who says Mary for Who cried
3	Who from Who says David for a child cried
5	Who for Who says the woman kissed the woman
12	John to the cheap woman hated David to David
4	John from the child knows David hated the man
5	a bells knows Mary knows the big bells cried
7	a child says the bells from John hated John
14	the pretty child went to a woman to John
3	a cheap woman from a man ran to Mary
6	Mary to a big pretty woman arrived from David
3	the pretty big woman for Mary kissed a child
10	the pretty cheap girl kissed a woman to John
3	John knows a cheap man knows John hated David
7	David arrived for a pretty big big cheap child
12	John hated the big man from the cheap woman
5	the man from the pretty man loved the woman
8	John says a cheap girl from Who hated Mary
10	the pretty big woman says Mary went for David
4	Who ran for a cheap big big big woman
4	a man knows a pretty bells arrived for Mary
12	Mary knows the cheap child loved David to David
4	a child to a girl knows a girl fell
9	the pretty child knows a man to Who cried
7	the cheap man to a bells hated the man
6	a big pretty girl knows David says Mary ran
4	the child for a bells arrived to the child
10	Mary for John arrived for a child for Mary
4	Mary knows John to a bells hated a man
7	a woman for a cheap woman says Mary ran
7	John from the cheap cheap bells knows Who ran
3	the pretty cheap cheap pretty big cheap woman cried
5	Mary to Mary says John toll from a woman
4	a pretty big child from David fell from John
4	a pretty man to John knows a man fell
6	the bells for a cheap child arrived for Who
6	a big big pretty cheap man to John cried
8	John says Mary says the cheap child hated Mary
16	David knows David knows Mary fell from a man
13	the bells for the child kissed Mary for David
5	a pretty pretty girl to a big girl fell
4	a big big woman says Who kissed the bells
6	Mary from John says a woman to David ran
21	the child says Who arrived from Mary to John
7	David knows the bells knows John for Mary fell
9	a pretty girl to David to the bells fell
4	Mary to David knows the woman arrived from Who
5	Who says a bells knows Mary hated the woman
23	David hated a woman for John for the woman
1	David for the bells knows Who went from Mary
4	the child says David says a bells loved John
5	John from a woman arrived to a cheap woman
6	a cheap big big girl loved the cheap bells
10	David for a man for Mary toll to Mary
3	Who knows Who to the girl to David ran
3	David from the pretty girl kissed a cheap woman
6	Who from the big big bells loved a bells
21	John kissed the big big bells from a child
14	David to David for a woman went to Mary
5	David says a man hated the cheap pretty woman
6	Who knows the child from a woman loved John
6	John says a girl says David knows David ran
4	a pretty pretty woman cried for a pretty woman
12	Who says the pretty child ran from the child
12	David for a cheap cheap man to David fell
3	a cheap pretty man for Mary says Who ran
4	the bells for a girl cried to the girl
13	a man kissed the cheap child to a child
11	the woman says the cheap man ran to Who
4	the cheap woman says David kissed a pretty man
1	a cheap big child knows the bells hated Who
3	Mary knows the child from John knows David fell
15	a bells toll for a pretty bells for John
2	the child says John from Who kissed the bells
9	John kissed a bells to a big cheap girl
6	Mary knows Mary kissed the pretty cheap pretty man
6	the woman from David says John went from Who
4	John says David to John knows David kissed Who
18	David for David says David kissed David for Who
4	a bells knows a girl knows the bells cried
14	David from David kissed the girl for a woman
4	Mary knows Mary says the woman loved a woman
4	a child says Mary for Mary says Who fell
4	the big woman knows Who to David loved Mary
8	John fell for a man to a big man
4	a child to Who knows the pretty man ran
3	David says David for a girl toll to John
5	Who knows John ran for a big cheap man
11	David knows David for Who from a girl fell
4	the cheap child to Mary hated the big woman
2	a cheap woman for a child says David ran
9	David for a child knows Mary to Who fell
11	Who for Who cried to a man from David
4	John to a man hated the cheap big woman
4	a big girl knows a woman knows David fell
5	the girl says Who knows Who kissed a child
2	a man cried from a big big big woman
4	the cheap girl says David knows John hated Mary
10	John says Who knows the big big man ran
5	the bells knows the big child loved a man
3	David knows Who for Mary loved a cheap girl
5	David knows Mary says Mary says a child cried
3	Who says a cheap cheap woman toll to Who
9	a cheap child knows David loved Mary to Mary
2	Mary says a man says David arrived for David
12	Who from the big girl for David loved Who
6	the girl says the pretty cheap big bells cried
22	Mary knows a child hated Who to the man
6	John says David knows the bells went for Who
3	David from David arrived to the pretty big woman
9	the big big man from David to John fell
6	a man to Mary arrived from a pretty child
6	a big bells says a child kissed a child
10	David for a pretty big big big girl fell
11	Mary to a girl to John knows John fell
5	David from the girl knows the bells hated John
15	Mary from Who for Who loved Mary for Mary
5	Who says a big child from a child cried
14	a bells for John loved the woman for David
4	a girl says a big cheap man hated Mary
7	David says a man fell for a cheap child
7	the cheap cheap cheap girl for a woman ran
5	the cheap big cheap pretty man went for John
17	David from a girl fell for Who to Mary
8	a cheap bells to David hated David from Mary
6	John for Who knows Mary fell to the girl
8	the man loved a cheap cheap cheap pretty child
8	Mary from the woman ran for the big girl
8	a woman went for Mary to the big girl
3	Mary says Who to the pretty bells kissed David
7	a pretty man knows a woman went for Who
8	a child from the woman for Who hated John
5	John knows a bells arrived from a pretty child
13	the woman hated Mary from a cheap cheap bells
8	Mary knows David says John kissed the big girl
3	a woman to Who knows Who from David fell
4	a man knows David kissed a pretty cheap girl
5	Mary kissed a cheap pretty cheap big cheap girl
6	the cheap bells knows a big child loved Who
6	Mary says the child from Mary loved the girl
8	the child from Who for a pretty girl ran
5	John for David loved the big big cheap woman
6	the cheap bells fell for the big big bells
8	a woman for the big woman fell from David
4	John says John says John to a bells fell
6	Mary knows Mary knows John to David hated David
8	the big man for a big child loved Who
8	Who to Who kissed the pretty bells from Who
3	the bells from Who cried from a big girl
29	John loved Who to David to the cheap child
10	the man from Who for Mary arrived to Mary
4	a bells to Who says the girl kissed John
3	the child says a man toll for the woman
7	a bells for the bells says Mary hated David
7	the big bells hated the pretty cheap big girl
3	David says a cheap man loved a big bells
3	Mary knows John for Mary says a woman cried
3	a woman says the woman loved the big woman
8	David from a cheap cheap pretty girl loved John
6	John says Who to the man says John ran
2	the big big big girl says a child ran
4	the bells knows the pretty girl to Who cried
5	the girl knows David knows Mary arrived from Who
4	Mary from Who knows David kissed the big girl
3	a pretty child to a bells went to Mary
14	a big child kissed the girl for a bells
13	Who from the woman for the woman loved Who
8	Who says a woman to a cheap man fell
4	Who knows Mary went to the big big man
6	Who knows the child to Who went from Mary
13	a big woman fell for the bells for John
7	a big pretty man knows John ran to David
7	a cheap pretty man to a child kissed Who
5	the girl says the bells for a man fell
6	Mary says John says John knows John kissed John
3	a cheap big big pretty pretty bells loved Who
5	a child to Mary loved a pretty big child
5	a girl from John says Mary ran from David
6	the big cheap pretty pretty woman loved the child
6	John says the cheap cheap woman for Mary ran
11	Who to Mary from the cheap man hated David
8	David ran from the pretty pretty child to Mary
4	David says the cheap pretty child knows Mary ran
23	Who hated Who for a woman from the child
6	Who to David knows a woman knows Who fell
8	John to a girl went for Mary from Mary
9	the pretty big cheap woman loved John to Mary
4	the pretty big pretty girl went for a woman
10	a girl kissed a bells to the pretty man
5	Mary to the girl says David knows John fell
10	Mary for Mary for Mary cried from the man
6	a big cheap girl for David toll to Mary
7	David went to John to the cheap cheap girl
10	a child to David loved Who to a man
15	John cried for Mary from Who for the man
9	David for John from a child loved a child
9	David fell from Mary for a cheap pretty girl
13	John to Mary knows the child cried for Mary
6	the big child knows John says a girl ran
11	Mary for John for Who loved a big child
6	John knows David to a big pretty girl ran
6	Mary to Who fell for a cheap big bells
9	David to a bells kissed a man from Mary
8	a man says David for a girl loved Mary
10	a cheap big girl ran for David from Mary
9	the pretty man to Who for David kissed John
11	John for the pretty man from a child fell
4	a cheap man to Who went to the bells
6	John from Mary knows a big cheap bells cried
7	Who from John knows David knows a woman fell
7	John knows a cheap pretty cheap woman kissed John
10	a woman from David from John says Who cried
13	a child says John for John fell for John
1	a child says Who says Mary says John ran
4	a cheap cheap woman says the big girl cried
7	John from the cheap cheap bells cried for Who
15	the man arrived to a child from the woman
9	John to David from the girl ran to John
8	the cheap child says Mary to a girl ran
8	the woman for John knows David says John fell
25	Mary for John to John for a girl fell
20	Mary knows David to Mary kissed John from Mary
20	John says the woman says Mary ran from Mary
6	a cheap cheap woman knows David for David fell
10	a child knows Who for John from David cried
16	Mary from John for a big cheap child ran
8	the bells for David arrived from Mary for David
11	John toll for the woman for a cheap girl
32	David says David cried for John from a bells
3	a cheap woman says the big cheap woman fell
10	the man from Who fell to David to John
14	the child knows a girl hated Mary to Who
12	the man fell from a woman from the man
8	a girl kissed a big cheap woman to Who
8	John from a bells to Who ran for David
10	the cheap man loved Mary from a big child
7	the cheap cheap pretty cheap child says John cried
14	John ran from a cheap child to a man
16	Mary from Mary for Mary knows a bells cried
31	David ran to the child from David from Who
8	the bells to Who knows David kissed a girl
5	a girl says Mary to the pretty child ran
30	Mary toll to David to the woman for Who
8	the child knows David cried from the cheap woman
6	a big pretty pretty bells fell for a girl
27	a child cried to Mary for John from Mary
14	a bells from Mary for a girl kissed John
20	Who loved Who from the big cheap cheap girl
5	Who says a pretty bells went from a man
11	David says the girl for David ran from David
12	Mary from John to a girl says David ran
15	John went to the cheap man from a girl
5	a big woman knows David toll for the bells
14	Mary says a man kissed a child for David
6	Who to a pretty child knows a woman cried
12	David arrived from a big pretty girl to David
12	Mary says Mary went to Who for a child
25	a bells went for Who for John from John
3	John to a big child knows John hated Mary
31	John toll to the girl to David from John
6	a pretty cheap bells went to the cheap bells
8	Who says the big cheap big pretty child cried
22	a girl for Who to John from Who cried
7	the girl knows Who for Who went from Mary
3	Mary says the child says the bells kissed Mary
15	the woman says John says Mary cried for John
21	David knows the man toll from Who for John
9	a bells cried from the big man for Mary
19	John knows Who says John loved John to Mary
14	Mary to John hated John from the cheap man
15	John for a woman hated David to a girl
33	a child loved a girl to David for Who
7	the bells to Mary for John loved a child
6	David to Who says a pretty man hated Who
2	the girl from the cheap big girl kissed David
30	David loved the girl for the child for John
7	Who for a pretty girl cried from the woman
5	a child for the big big cheap man fell
6	a bells from the bells to a woman cried
8	a man toll to the pretty cheap big girl
5	Who knows John knows a man from John ran
29	John says a woman cried from David from David
7	the pretty child for the bells from Mary cried
24	John loved Who to a cheap man from Who
31	Who knows Mary cried to a girl to Mary
12	David says the cheap pretty bells fell to David
4	David says Who knows the girl knows Mary fell
71	Mary hated Mary from David to Mary from Mary
10	the big woman ran to David from the woman
9	the big bells to Who fell to a bells
10	Mary says David from Mary from David kissed David
11	David to the bells to the cheap girl fell
8	Mary knows Who from John toll to a girl
21	Who knows David kissed David from a big bells
11	David to the bells for Mary loved a child
11	Who says a cheap big child kissed a girl
14	John for John went to Mary to a man
13	Who for David from Who toll to a girl
7	Mary from David says David for John kissed Who
11	Mary for a girl knows Who cried to Mary
38	Who for Mary from Who to John kissed Mary
15	David knows John toll from a man from Mary
6	a pretty big cheap woman says Who kissed Mary
7	John knows David to a woman cried to Who
13	a big big child kissed Mary from the bells
5	Mary for the big man arrived to the bells
13	a man knows a girl cried from a bells
47	John knows Who hated Who to Who from Mary
11	the big bells arrived to David to the man
28	Who from David to a bells for John cried
6	a cheap cheap big girl for David kissed Mary
17	David arrived from Mary from John to the bells
14	a girl knows Who hated the bells from David
12	the big cheap cheap big man cried from John
17	a woman kissed David to a bells for Mary
20	Mary loved a pretty bells for David to Who
8	Mary says the big man knows a bells cried
7	the big woman went from the cheap cheap child
15	Mary for John for David knows Mary hated Who
15	the man knows David loved Who for a child
13	a pretty big child toll from Who for David
11	a pretty child knows a girl cried for David
8	a girl knows the cheap child knows Mary cried
12	a man fell for Who to the pretty girl
6	a pretty pretty girl kissed the pretty big woman
9	the cheap woman says Who cried to the girl
24	David for Who loved Who for Who from David
31	John cried from John from a woman for Who
27	the child hated Who for John from the girl
4	a big man for the cheap pretty child cried
2	the man knows a bells knows Who kissed Who
6	Who from a bells knows the cheap woman fell
7	a girl from a girl hated the cheap man
26	a man says Mary fell to John to John
21	Who knows John says a girl ran to David
26	a pretty bells kissed Who to David to Who
5	Mary knows a bells for Mary to Mary ran
10	a bells to Mary to Who ran to Mary
9	Mary kissed a cheap big big woman from Who
20	David says Who loved a big man from Mary
10	the big bells hated the big man to David
16	the girl says Who from John loved David to David
4	a girl says the cheap cheap pretty cheap woman cried
5	a big big man knows the child hated a child
9	David hated the big cheap woman to a cheap bells
3	a pretty cheap man from Who knows the girl fell
5	the pretty man from John went for a pretty woman
10	Mary for a man knows David loved John to John
71	Who kissed David from a bells for John from Who
14	David to John says David fell from a big girl
3	the child from the bells cried for a cheap child
5	the child knows a big woman knows a child cried
4	David cried from the big pretty cheap pretty big girl
10	Who knows the girl from a pretty man loved Who
6	David knows the pretty child to David to Mary fell
14	the big bells says Who hated David to the child
13	John from David knows Mary arrived to Mary from Mary
8	the woman says the pretty big bells toll for Who
10	a bells for John arrived from the bells to David
21	Mary for Mary hated the woman for John for David
5	John from a pretty man knows a pretty man cried
3	Who says the pretty girl says a pretty child ran
17	Mary to David from the big cheap big girl fell
8	a child for a pretty bells kissed Mary from Who
6	a cheap big child hated a big big big child
4	the big man from Mary says a child hated Who
5	a big pretty pretty bells knows John says David fell
9	a cheap woman for the girl ran to the man
4	a big big man knows John for the man fell
14	John for Who for John says David arrived from Who
71	John for Mary from Mary from Mary from Mary ran
5	the big child says a pretty cheap pretty child fell
11	David to David from John knows Who says Mary fell
3	the woman to a cheap pretty woman ran for Who
5	John from the woman says David knows Who hated John
6	the bells knows Mary from a big cheap woman fell
5	Who from the cheap big big man ran to Mary
8	David from a cheap pretty woman hated Mary from David
7	a girl knows a girl to David says John cried
4	the girl knows John says Who knows a girl ran
4	David from a big child knows Mary to Who ran
82	Who kissed John from John for Mary to a woman
32	David for the girl for Who to Who loved John
4	the big pretty cheap girl arrived to John for John
7	David for Who to David says a woman loved Who
23	Mary knows a girl cried to David to the girl
3	a bells knows a woman knows John went from Who
7	Who says David for Who for David hated a girl
13	the child says a bells from John to Mary ran
8	a woman for John kissed a woman to the bells
12	Mary from John for the big man hated the man
12	Mary to John says David hated David to a child
25	the bells knows Who cried from David for a woman
75	Who knows Mary cried for Mary to John to Mary
13	Mary to the woman from John knows the man fell
14	David from the pretty child for John loved a bells
4	the pretty pretty bells from John toll from the man
22	John fell for the bells for Mary from the bells
10	a pretty pretty girl toll for David for the man
9	Who to the woman from the big bells loved David
65	David toll for David to Mary from Who to Who
80	David loved the child to Who for Mary from David
9	the bells knows David says a girl loved the man
10	Mary kissed a child to a pretty cheap big girl
8	Mary from the man cried for a pretty cheap child
18	Mary says the bells went for Who from a woman
28	the woman hated the big bells from John to David
3	John knows the man loved the cheap pretty big girl
9	Mary for Who from a big bells arrived to John
14	John for the cheap man cried from Mary for John
7	a girl hated David to a pretty cheap pretty bells
12	David knows Who from the cheap child cried from Who
4	a cheap girl from Mary knows John toll from Who
9	David says John knows the big bells ran for Who
9	Who knows the woman kissed the cheap girl to Mary
5	David says a pretty cheap bells loved a pretty man
15	Who from the girl to John cried for the woman
9	the pretty girl says Mary for David for Mary fell
4	a pretty girl knows the child says the girl ran
10	Mary fell from a child for a pretty pretty bells
5	Mary says John says David loved a cheap pretty woman
10	John from a cheap man hated a child for John
17	Mary says David kissed Mary for the cheap cheap girl
26	Who to David to Mary from the girl loved Mary
13	Who for John for Who toll to the cheap bells
8	John knows the bells to a bells cried for Who
4	David knows a girl says John for Mary hated John
23	Who kissed a pretty bells for the bells from David
7	a child says Who knows the woman arrived from Who
6	Who says a girl says David hated the big child
8	Who knows the cheap child arrived to the cheap child
13	a pretty man for the woman loved Who for David
8	a child went from the pretty pretty cheap cheap girl
9	a pretty cheap cheap woman says a man kissed David
9	Mary for a bells for the girl ran to Mary
12	David knows Mary arrived to the man from a girl
7	David says Mary to Mary loved a big cheap bells
40	Who says Who toll for John from John from Mary
11	David for Who from the woman knows a child cried
5	the big big cheap pretty woman from Who hated John
5	Who for Mary knows David for Mary knows David ran
8	Who cried from a pretty bells from the big girl
5	David says Mary knows the pretty child for Who ran
5	Who says David to a pretty big cheap girl fell
19	the man says John knows David fell to the woman
8	a bells knows a woman ran from a pretty woman
5	Mary for Who knows Who kissed a cheap big man
3	Who kissed a big pretty cheap big big pretty man
10	Who went from the big big cheap woman to John
5	David from the pretty child knows the bells loved Mary
4	David to John from John knows Mary hated a man
13	a cheap pretty man from a woman from David cried
5	Who to a big big woman knows David loved Who
10	Who for Who says a cheap man knows Who ran
10	a bells loved a bells for the cheap pretty bells
12	David knows the pretty man from Who hated the child
23	Who for a cheap bells for John from Mary fell
2	the cheap big man to David knows Who kissed David
12	Mary says Who loved a cheap cheap man to David
2	a man knows John says a pretty pretty girl cried
10	David says John says John to the child kissed John
3	a man says Mary to Mary knows the child fell
11	John to Who says the big child ran for David
5	a child to David knows the big cheap bells fell
46	David says Mary says David cried for Mary to David
9	the bells to Mary to Who knows Mary loved John
11	the cheap woman to Mary to a big bells fell
8	the pretty cheap man for a pretty big girl cried
11	Mary from David says John from Mary fell from John
6	a pretty pretty cheap pretty big man knows David cried
6	the girl says the girl knows Who loved a man
2	David says the woman knows a bells toll for John
6	the woman to the child cried from Who from Mary
13	Mary toll to the big pretty bells for a child
10	a child says a pretty bells fell for the man
9	a man says Who for John loved a pretty child
9	John from the pretty woman loved David for the child
19	David from the woman fell from a child from David
6	Mary says Who knows a girl hated the cheap child
4	John knows Mary for David knows David kissed a woman
8	a big pretty pretty woman to David says Who ran
15	John knows a child went for the child for David
3	a big big man for a girl fell to David
5	John from the pretty girl says John arrived for Who
3	a cheap man says Mary kissed the big cheap child
8	a big cheap cheap man knows Mary cried to David
2	the pretty pretty man knows Mary for Who loved David
3	a pretty pretty girl for a bells loved the man
23	David from David to Who went for Who for Mary
4	John knows John to John arrived from the cheap child
4	David knows the woman knows a child kissed the man
3	a big girl says David says John from Who cried
23	the big man says Mary fell from Who from David
6	a cheap cheap woman arrived for the big pretty child
6	David to Mary for John cried for the big man
3	the girl says Mary for the girl says Mary ran
3	a child from the woman hated the cheap big girl
5	the man for the child knows David loved the child
5	John for a pretty bells knows Who fell from Mary
4	a cheap pretty man says John loved the pretty girl
5	Mary says Mary says John went from the cheap girl
5	Mary for the girl says Mary toll for a child
5	the woman for Mary says the man to Who fell
4	Who knows the pretty woman to Mary knows Who fell
4	Who to John cried for a cheap cheap pretty man
8	a man says John for a woman ran for Mary
3	a bells to a pretty cheap cheap man kissed Who
6	the woman kissed a cheap pretty big cheap pretty bells
9	John says the big child for John ran from David
2	a girl for Who knows David for a woman fell
4	the big child says Mary for the bells loved John
8	Who to the cheap big man for Mary hated Who
5	David for Mary knows David says David for Who cried
8	Who for Who knows a big child went for Mary
3	the cheap big cheap girl to David arrived to Who
15	a man from a woman for the big woman cried
3	David for Mary says the man to David loved Mary
6	the cheap cheap cheap big cheap woman fell from John
5	a big woman says a big woman kissed a girl
5	John to a cheap man says David knows John cried
